CGPA,Branch,Role,Duration,Offer type,Gender,Company,Industry,Stpd,CTC,Details,No. of students placed,Additional Info
8.61,SE,SDE,FTE,Full-time,M,Ebullient Securities,Financial Services,,85,50 lpa fixed,1,
9.76,CO,SDE,6M + PPO,PPO,F,Apple,Technology,90,64,"(90 + 10 housing)K pm
64 lpa",3,
8.2,CO,SDE,6M + PPO,PPO,M,Apple,Technology,90,64,,,
9.61,CO,SDE,6M + PPO,PPO,M,Apple,Technology,90,64,,,Wireless Technology
8.95,CO,SDE,6M + FTE,6M+FTE,M,Zomato,Food Delivery,,56,56 lpa,4,
8.53,CO,SDE,6M + FTE,6M+FTE,M,Zomato,Food Delivery,,56,,,
9.4,CO,SDE,6M + FTE,6M+FTE,M,Zomato,Food Delivery,,56,,,
9.21,IT,SDE,6M + FTE,6M+FTE,M,Zomato,Food Delivery,,56,,,
7.85,CO,Data Science,6M + PPO,PPO,M,Cred,Financial Technology,100,52,,1,
9.25,CO,SDE,PPO,PPO,M,Microsoft,Technology,,51,51 lpa,9,
9.22,CO,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
9.59,CO,SDE,PPO,PPO,F,Microsoft,Technology,,51,,,
9.56,CO,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
8.82,CO,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
8.61,CO,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
9.14,IT,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
7.91,IT,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
6.41,SE,SDE,PPO,PPO,M,Microsoft,Technology,,51,,,
8.92,CO,SDE,PPO,PPO,M,Microsoft,Technology,,48,48 lpa,7,
8.83,CO,SDE,PPO,PPO,M,Microsoft,Technology,,48,,,
8.92,IT,SDE,PPO,PPO,M,Microsoft,Technology,,48,,,
9,SE,SDE,PPO,PPO,M,Microsoft,Technology,,48,,,
9.22,SE,SDE,PPO,PPO,M,Microsoft,Technology,,48,,,
9.24,MCE,SDE,PPO,PPO,M,Microsoft,Technology,,48,,,
8.92,MCE,SDE,PPO,PPO,M,Microsoft,Technology,,48,,,
9.17,CO,SDE,PPO,PPO,M,Adobe,Technology,,47,47 lpa,10,
9.08,CO,SDE,PPO,PPO,M,Adobe,Technology,,47,,,
9.2,CO,SDE,PPO,PPO,M,Adobe,Technology,,47,,,
9.44,CO,SDE,PPO,PPO,M,Adobe,Technology,,47,,,
9.19,CO,SDE,PPO,PPO,M,Adobe,Technology,,47,,,
